,0,1,2
127,"(26, 454)","(54, 319)","(102, 94)"
128,"(12, 140)","(26, 553)","(78, 133)"
129,"(52, 424)","(63, 31)","(70, 316)"
130,"(50, 185)","(56, 85)","(93, 12)"
131,"(21, 576)","(112, 427)","(124, 382)"
132,"(70, 518)","(76, 6)","(91, 170)"
133,"(56, 553)","(66, 140)","(78, 128)"
134,"(23, 280)","(45, 370)","(75, 607)"
135,"(50, 546)","(60, 541)","(63, 55)"
136,"(63, 80)","(65, 329)","(73, 628)"
137,"(119, 116)","(126, 6)","(129, 170)"
138,"(87, 648)","(93, 654)","(99, 188)"
139,"(7, 82)","(60, 506)","(85, 490)"
140,"(12, 128)","(14, 553)","(66, 133)"
141,"(79, 49)","(80, 16)","(106, 258)"
142,"(53, 619)","(73, 690)","(141, 24)"
143,"(141, 52)","(145, 435)","(145, 684)"
144,"(25, 175)","(61, 145)","(75, 246)"
145,"(34, 641)","(61, 144)","(74, 175)"
146,"(41, 589)","(48, 80)","(73, 79)"
147,"(84, 261)","(90, 124)","(114, 285)"
148,"(93, 133)","(102, 240)","(107, 352)"
149,"(89, 163)","(116, 629)","(128, 100)"
150,"(35, 24)","(37, 596)","(103, 214)"
151,"(60, 369)","(102, 491)","(105, 380)"
152,"(103, 678)","(123, 685)","(141, 111)"
153,"(60, 584)","(110, 15)","(135, 292)"
154,"(7, 76)","(28, 282)","(54, 345)"
155,"(23, 668)","(78, 166)","(99, 410)"
156,"(59, 464)","(112, 62)","(119, 87)"
157,"(34, 324)","(80, 257)","(92, 710)"
158,"(131, 520)","(136, 481)","(139, 27)"
159,"(37, 354)","(73, 43)","(90, 289)"
160,"(35, 462)","(64, 574)","(78, 360)"
161,"(27, 67)","(88, 617)","(92, 652)"
162,"(16, 45)","(71, 232)","(72, 287)"
163,"(68, 100)","(89, 149)","(90, 510)"
164,"(43, 122)","(87, 1)","(102, 484)"
165,"(25, 306)","(82, 105)","(84, 174)"
166,"(78, 155)","(91, 668)","(123, 527)"
167,"(130, 686)","(132, 519)","(137, 554)"
168,"(48, 708)","(56, 412)","(63, 428)"
169,"(58, 425)","(82, 414)","(92, 700)"
170,"(26, 6)","(69, 195)","(70, 616)"
171,"(71, 386)","(139, 595)","(161, 77)"
172,"(44, 33)","(98, 549)","(143, 626)"
