,0,1,2
558,"(47, 551)","(75, 291)","(76, 339)"
559,"(82, 663)","(87, 539)","(101, 106)"
560,"(49, 268)","(76, 75)","(76, 548)"
561,"(15, 204)","(15, 209)","(18, 111)"
562,"(18, 115)","(127, 346)","(128, 680)"
563,"(29, 176)","(77, 474)","(81, 436)"
564,"(46, 284)","(47, 514)","(52, 465)"
565,"(40, 53)","(53, 41)","(80, 303)"
566,"(15, 680)","(54, 589)","(60, 638)"
567,"(27, 625)","(40, 271)","(51, 627)"
568,"(60, 498)","(60, 623)","(69, 276)"
569,"(84, 704)","(86, 443)","(137, 711)"
570,"(78, 365)","(79, 178)","(124, 232)"
571,"(106, 117)","(150, 642)","(296, 143)"
572,"(20, 505)","(36, 191)","(42, 199)"
573,"(34, 279)","(39, 74)","(54, 578)"
574,"(14, 360)","(34, 462)","(40, 517)"
575,"(175, 259)","(193, 70)","(219, 51)"
576,"(21, 131)","(99, 427)","(141, 476)"
577,"(99, 159)","(105, 475)","(110, 289)"
578,"(29, 25)","(37, 194)","(54, 573)"
579,"(42, 476)","(71, 361)","(111, 651)"
580,"(18, 213)","(54, 434)","(88, 517)"
581,"(60, 637)","(71, 265)","(75, 445)"
582,"(47, 39)","(47, 447)","(113, 38)"
583,"(33, 17)","(44, 332)","(51, 432)"
584,"(60, 153)","(96, 712)","(131, 266)"
585,"(28, 359)","(31, 543)","(33, 193)"
586,"(68, 617)","(69, 652)","(71, 67)"
587,"(107, 320)","(128, 539)","(146, 86)"
588,"(25, 418)","(43, 334)","(55, 413)"
589,"(31, 80)","(41, 146)","(54, 566)"
590,"(17, 40)","(59, 317)","(72, 708)"
591,"(128, 671)","(153, 264)","(155, 347)"
592,"(34, 247)","(49, 186)","(61, 108)"
593,"(99, 118)","(141, 259)","(144, 342)"
594,"(14, 278)","(43, 419)","(44, 448)"
595,"(76, 287)","(138, 162)","(139, 171)"
596,"(37, 150)","(69, 24)","(73, 214)"
597,"(72, 19)","(75, 238)","(100, 252)"
598,"(67, 243)","(101, 567)","(116, 625)"
599,"(78, 381)","(138, 257)","(164, 66)"
600,"(72, 11)","(72, 248)","(74, 318)"
601,"(34, 698)","(50, 653)","(55, 502)"
602,"(70, 376)","(98, 7)","(159, 161)"
603,"(88, 57)","(93, 65)","(93, 260)"
604,"(14, 482)","(33, 433)","(41, 414)"
605,"(28, 532)","(93, 526)","(96, 524)"
606,"(21, 499)","(89, 581)","(118, 637)"
607,"(54, 617)","(71, 280)","(74, 370)"
608,"(26, 717)","(39, 256)","(40, 227)"
609,"(20, 508)","(42, 402)","(43, 432)"
610,"(21, 612)","(45, 323)","(84, 12)"
611,"(121, 27)","(151, 670)","(161, 697)"
612,"(21, 610)","(46, 323)","(99, 231)"
613,"(39, 635)","(118, 100)","(132, 434)"
614,"(114, 251)","(120, 51)","(135, 70)"
615,"(68, 643)","(172, 401)","(190, 2)"
616,"(11, 195)","(42, 116)","(43, 329)"
617,"(54, 607)","(68, 67)","(68, 586)"
618,"(110, 560)","(127, 534)","(129, 532)"
619,"(53, 142)","(107, 174)","(117, 640)"
620,"(61, 83)","(75, 123)","(83, 102)"
621,"(66, 692)","(88, 459)","(110, 28)"
622,"(40, 531)","(57, 239)","(59, 438)"
623,"(50, 276)","(55, 457)","(60, 568)"
624,"(37, 557)","(61, 364)","(110, 189)"
625,"(27, 567)","(53, 271)","(63, 627)"
626,"(131, 328)","(141, 33)","(143, 172)"
627,"(11, 271)","(51, 567)","(59, 260)"
628,"(51, 329)","(64, 68)","(68, 79)"
629,"(45, 66)","(61, 481)","(106, 381)"
630,"(8, 88)","(41, 313)","(57, 547)"
631,"(75, 116)","(83, 493)","(95, 136)"
632,"(4, 236)","(20, 219)","(36, 222)"
633,"(80, 292)","(84, 445)","(118, 469)"
634,"(43, 419)","(46, 411)","(56, 46)"
635,"(39, 613)","(125, 434)","(131, 367)"
636,"(46, 637)","(54, 265)","(101, 581)"
637,"(19, 265)","(46, 636)","(60, 581)"
638,"(49, 493)","(50, 680)","(60, 566)"
639,"(40, 322)","(76, 295)","(77, 541)"
640,"(87, 165)","(87, 699)","(105, 306)"
641,"(34, 145)","(42, 272)","(49, 431)"
642,"(150, 571)","(254, 117)","(284, 626)"
643,"(68, 615)","(127, 401)","(136, 2)"
644,"(76, 703)","(137, 479)","(156, 97)"
645,"(74, 275)","(115, 429)","(148, 403)"
646,"(62, 395)","(101, 267)","(122, 157)"
647,"(21, 214)","(75, 477)","(92, 596)"
648,"(87, 138)","(134, 188)","(135, 654)"
649,"(30, 656)","(59, 37)","(101, 95)"
650,"(10, 181)","(47, 420)","(63, 84)"
651,"(46, 47)","(111, 579)","(138, 476)"
652,"(31, 715)","(69, 586)","(76, 67)"
653,"(23, 698)","(50, 601)","(76, 502)"
654,"(52, 444)","(93, 138)","(135, 648)"
655,"(71, 462)","(76, 81)","(78, 574)"
656,"(30, 649)","(88, 37)","(103, 95)"
657,"(75, 73)","(115, 330)","(128, 506)"
658,"(35, 69)","(57, 262)","(92, 113)"
659,"(95, 328)","(135, 695)","(153, 667)"
660,"(45, 56)","(113, 473)","(124, 37)"
661,"(65, 525)","(90, 385)","(91, 450)"
662,"(60, 719)","(99, 316)","(104, 127)"
663,"(49, 468)","(74, 556)","(82, 559)"
664,"(81, 292)","(93, 550)","(109, 15)"
665,"(26, 90)","(30, 198)","(83, 78)"
666,"(68, 11)","(82, 10)","(103, 600)"
667,"(40, 702)","(100, 705)","(106, 695)"
668,"(23, 155)","(76, 410)","(82, 527)"
669,"(71, 349)","(112, 423)","(139, 71)"
670,"(102, 128)","(114, 140)","(128, 553)"
671,"(109, 182)","(120, 404)","(128, 591)"
672,"(48, 490)","(86, 82)","(89, 139)"
673,"(45, 312)","(57, 8)","(83, 572)"
674,"(55, 273)","(127, 274)","(263, 87)"
675,"(24, 496)","(36, 706)","(89, 396)"
676,"(21, 237)","(32, 208)","(33, 235)"
677,"(34, 227)","(45, 202)","(51, 459)"
678,"(103, 152)","(159, 685)","(160, 218)"
679,"(62, 677)","(68, 392)","(75, 202)"
680,"(15, 566)","(50, 638)","(67, 589)"
681,"(35, 474)","(82, 176)","(107, 436)"
682,"(59, 358)","(102, 362)","(114, 337)"
683,"(46, 707)","(50, 467)","(74, 502)"
684,"(15, 435)","(121, 305)","(145, 143)"
685,"(24, 211)","(33, 200)","(46, 201)"
686,"(23, 519)","(30, 554)","(98, 325)"
687,"(64, 297)","(91, 544)","(104, 540)"
688,"(37, 521)","(43, 457)","(63, 507)"
689,"(99, 423)","(122, 71)","(164, 436)"
690,"(73, 142)","(124, 619)","(144, 647)"
691,"(44, 92)","(82, 84)","(83, 650)"
692,"(46, 28)","(66, 621)","(95, 679)"
693,"(67, 455)","(72, 357)","(99, 454)"
694,"(83, 703)","(101, 528)","(140, 276)"
695,"(84, 702)","(106, 667)","(135, 659)"
696,"(33, 339)","(85, 291)","(93, 129)"
697,"(27, 352)","(87, 133)","(116, 27)"
698,"(23, 653)","(34, 601)","(52, 502)"
699,"(46, 105)","(87, 640)","(98, 306)"
700,"(81, 414)","(89, 482)","(90, 425)"
701,"(67, 183)","(96, 522)","(114, 564)"
702,"(40, 667)","(84, 695)","(119, 500)"
703,"(76, 644)","(83, 694)","(161, 528)"
704,"(66, 64)","(84, 569)","(117, 327)"
705,"(66, 495)","(100, 667)","(121, 500)"
706,"(12, 496)","(36, 675)","(52, 396)"
707,"(46, 683)","(47, 502)","(73, 698)"
708,"(36, 428)","(48, 168)","(56, 40)"
709,"(79, 210)","(92, 234)","(95, 216)"
710,"(59, 406)","(63, 288)","(63, 324)"
711,"(82, 443)","(112, 485)","(122, 388)"
712,"(35, 266)","(58, 410)","(86, 405)"
713,"(67, 480)","(86, 718)","(89, 451)"
714,"(52, 193)","(56, 391)","(60, 359)"
715,"(31, 652)","(72, 5)","(86, 67)"
716,"(57, 440)","(87, 101)","(113, 110)"
717,"(13, 256)","(17, 233)","(26, 608)"
718,"(46, 451)","(77, 362)","(86, 713)"
719,"(52, 316)","(60, 662)","(71, 424)"
