,Unnamed: 0,address,zipcode,city,state,latitude,longitude,amount
1122,1122,1052 Lipan Street,80204.0,Denver,CO,39.733119,-105.001202,400606.0
1123,1123,1525 South Quieto Court,80223.0,Denver,CO,39.688976000000004,-105.008117,318832.0
1125,1125,1212 Columbine Street,80206.0,Denver,CO,39.735510999999995,-104.95711299999999,1023400.0
1126,1126,2942 Gaylord Street,80205.0,Denver,CO,39.759088,-104.960774,610605.0
1127,1127,1070 Knox Court,80204.0,Denver,CO,39.7343,-105.031828,402501.0
1128,1128,979 Lipan Street,80204.0,Denver,CO,39.731929,-105.00191799999999,618786.0
1129,1129,4555 Elm Court,80211.0,Denver,CO,39.779399,-105.02313500000001,494126.0
1132,1132,1010 31st Street,80205.0,Denver,CO,39.761252,-104.97723400000001,560098.0
1133,1133,300 Sherman Street,80203.0,Denver,CO,39.721088,-104.98466499999999,666810.0
1134,1134,2351 East Louisiana Avenue,80210.0,Denver,CO,39.693095,-104.958949,518538.0
1135,1135,1669 Erie Street,80211.0,Denver,CO,39.761043,-105.01093999999999,453259.0
1136,1136,1545 Ogden Street,80210.0,Denver,CO,39.688509,-104.97608100000001,828219.0
1137,1137,19 East Maple Avenue,80209.0,Denver,CO,39.714042,-104.98656499999998,399049.0
1139,1139,4117 Tejon Street,80211.0,Denver,CO,39.773326000000004,-105.01155800000001,504858.0
1140,1140,2109 East 16th Avenue,80206.0,Denver,CO,39.741876,-104.96184199999999,1015983.0
1143,1143,1632 Vine Street,80206.0,Denver,CO,39.742284999999995,-104.961902,765056.0
1144,1144,4536 Quieto Court,80211.0,Denver,CO,39.778553,-105.006699,329524.0
1146,1146,1626 South Xavier Street,80219.0,Denver,CO,39.687233,-105.0497,315349.0
1147,1147,3221 Quitman Street,80212.0,Denver,CO,39.762551,-105.04079899999999,589819.0
1148,1148,3263 South Glencoe Street,80222.0,Denver,CO,39.657413,-104.92557,397263.0
1149,1149,1433 South Carlan Court,80219.0,Denver,CO,39.690339,-105.018791,367604.0
1155,1155,237 Galapago Street,80223.0,Denver,CO,39.720102000000004,-104.996698,469032.0
1156,1156,3890 Winona Court,80212.0,Denver,CO,39.770921,-105.04713600000001,1343838.0
1158,1158,1466 West Tennessee Avenue,80223.0,Denver,CO,39.697828,-105.00313200000001,331337.0
1159,1159,1359 Gaylord Street,80206.0,Denver,CO,39.73793,-104.96136200000001,258094.0
1165,1165,1415 East 29th Avenue,80205.0,Denver,CO,39.758407,-104.970526,488755.0
1166,1166,548 Delaware Street,80204.0,Denver,CO,39.725023,-104.992579,486602.0
1169,1169,3934 Humboldt Street,80205.0,Denver,CO,39.769609,-104.968949,349003.0
1171,1171,3226 Wyandot Street,80211.0,Denver,CO,39.762570000000004,-105.014022,1053221.0
1172,1172,3035 East Alameda Avenue,80209.0,Denver,CO,39.711544,-104.951415,2445897.0
1175,1175,1210 South Dale Court,80219.0,Denver,CO,39.694548,-105.02121000000001,343780.0
1180,1180,2319 Hooker Street,80211.0,Denver,CO,39.751614000000004,-105.028697,611883.0
1182,1182,1905 East 28th Avenue,80205.0,Denver,CO,39.757251000000004,-104.964424,695038.0
1183,1183,125 Grove Street,80219.0,Denver,CO,39.718629,-105.026692,399650.0
1187,1187,3530 East 8th Avenue,80206.0,Denver,CO,39.728936,-104.94539499999999,768678.0
1189,1189,2915 Franklin Street,80205.0,Denver,CO,39.758615999999996,-104.968763,393716.0
1190,1190,1425 Saint Paul Street,80206.0,Denver,CO,39.738838,-104.950957,734364.0
1191,1191,2532 South Birch Street,80222.0,Denver,CO,39.669823,-104.936373,463285.0
