,latitude,longitude
0,39.76703,-105.00256
1,39.753609999999995,-104.91237
2,39.75438,-104.91156000000001
3,39.719809999999995,-104.99649
4,39.739959999999996,-104.93173
5,39.762159999999994,-105.02866000000002
6,39.765879999999996,-105.00545
7,39.75322,-104.93335
8,39.74947,-104.97611
9,39.73276,-104.98035
10,39.66787,-104.98969
11,39.74955,-104.93238999999998
12,39.74927,-104.97482
13,39.74865,-104.97522
14,39.74145,-104.94845
15,39.69688,-104.96231999999999
16,39.76716,-105.0435
17,39.7416,-104.93613
18,39.757059999999996,-105.01021999999999
19,39.75475,-105.00533
21,39.69859,-104.9813
22,39.71816,-104.9962
23,39.7413,-104.96933999999999
24,39.744279999999996,-104.96285
25,39.74065,-104.95846
26,39.76746,-104.97948000000001
27,39.77068,-105.03456000000001
28,39.76659,-105.00957
29,39.683040000000005,-104.98302
30,39.70418,-104.96721000000001
31,39.760909999999996,-105.01205
32,39.75663,-104.88423
33,39.751459999999994,-105.02246000000001
34,39.759159999999994,-104.98068
35,39.72345,-104.89731
36,39.768209999999996,-105.00076000000001
37,39.74156,-104.91633
38,39.749790000000004,-104.96446999999999
39,39.75006,-104.93265
40,39.716609999999996,-104.99618000000001
41,39.741279999999996,-104.96761000000001
42,39.683890000000005,-104.98076
43,39.77989,-105.01581000000002
44,39.73433,-104.95666000000001
45,39.70169,-104.98266000000001
46,39.75525,-104.97745
47,39.74965,-104.96088
48,39.67548,-104.92997
49,39.7494,-105.03548
50,39.72515,-104.99727
51,39.71703,-105.03896
52,39.73417,-104.97613999999999
53,39.75893,-105.01637
54,39.73729,-104.95013
55,39.75623,-105.01756999999999
56,39.72096,-104.98114
57,39.7322,-104.94899
58,39.745309999999996,-104.9961
59,39.68953,-105.0411
60,39.76001,-104.86888
61,39.75575,-104.97661000000001
62,39.78185,-105.03971999999999
63,39.781659999999995,-105.03975
64,39.7738,-105.00936999999999
65,39.727709999999995,-104.99788000000001
66,39.71284,-104.99193999999999
67,39.73486,-104.98561000000001
68,39.7494,-104.97469
69,39.76013,-105.03131
70,39.74777,-104.95886000000002
71,39.71302,-104.97511999999999
72,39.76804,-104.97044
73,39.7675,-105.04356000000001
74,39.73684,-104.96973999999999
75,39.73206,-104.96918000000001
76,39.768029999999996,-104.96903
77,39.71245,-104.97528999999999
78,39.73429,-104.98352
79,39.68363,-104.97227
80,39.733709999999995,-104.98163999999998
81,39.76556,-105.02152
82,39.73845,-105.03883
83,39.77565,-105.02396999999999
84,39.734390000000005,-104.95806999999999
85,39.67392,-104.97211999999999
86,39.75759,-104.9793
87,39.76324,-104.97143
88,39.76794,-105.05151000000001
89,39.71954,-104.98346000000001
90,39.739259999999994,-105.04678999999999
91,39.74537,-104.98472
92,39.73845,-105.04535
93,39.76579,-105.01655
94,39.73559,-104.96108999999998
95,39.74252,-104.90985
96,39.752759999999995,-105.05175
97,39.76494,-104.97211000000001
98,39.73871,-104.97073
99,39.75878,-105.01353
100,39.73705,-104.96834
101,39.73404,-104.94653999999998
102,39.77317,-105.02828000000001
103,39.66697,-104.96458
104,39.66793,-104.96606000000001
105,39.78125,-105.03799
106,39.77194,-105.02478
107,39.7693,-105.01046000000001
108,39.74505,-104.99458999999999
109,39.76493,-104.95783
110,39.73648,-105.0008
111,39.67953,-104.98035
112,39.76005,-104.96649
113,39.73961,-104.91956
114,39.76425,-104.9712
115,39.74153,-104.96733
116,39.7341,-105.00068999999999
117,39.72061,-104.91187
118,39.71627,-104.98913999999999
119,39.66636,-104.96569
120,39.72202,-104.91176999999999
121,39.744009999999996,-105.03052
122,39.72203,-104.96623000000001
123,39.71757,-104.98132
124,39.76664,-104.95477
125,39.74176,-104.96718
126,39.75065,-104.97726000000002
127,39.76485,-105.03541000000001
128,39.764920000000004,-104.94855
129,39.750170000000004,-104.97516
130,39.70624,-104.9816
131,39.745020000000004,-104.99793000000001
132,39.73447,-105.02558
133,39.78009,-105.03965
134,39.7758,-105.01271000000001
135,39.76631,-105.0336
136,39.7314,-104.98195
137,39.77026,-105.0377
138,39.68889,-104.95642
139,39.74322,-104.95003999999999
140,39.70434,-105.0102
141,39.75642,-104.85848
142,39.76336,-105.01881000000002
143,39.75436,-104.98298999999999
144,39.747440000000005,-104.97724
145,39.70044,-104.93019
146,39.76647,-105.00288
147,39.70726,-104.89081000000002
148,39.73261,-104.94861000000002
149,39.694520000000004,-104.97672
150,39.76661,-105.00211999999999
151,39.74368,-104.99673
152,39.70519,-105.0113
153,39.74559,-104.98726
154,39.73182,-104.97872
155,39.78091,-104.74517
156,39.6878,-104.90343999999999
157,39.77155,-105.01008999999999
158,39.730779999999996,-104.97818000000001
159,39.76931,-104.96503
160,39.766909999999996,-105.00186000000001
161,39.66933,-104.96231
162,39.730540000000005,-104.99699
163,39.752320000000005,-104.99802
164,39.73649,-104.94604
165,39.67525,-104.97746000000001
166,39.749990000000004,-104.9725
167,39.764340000000004,-104.96031
168,39.78329,-105.02358999999998
169,39.75797,-104.96678999999999
170,39.74602,-104.96404
171,39.77267,-105.00203
172,39.72068,-104.97175
173,39.72787,-104.98006000000001
174,39.72795,-104.9789
175,39.76145,-105.03693999999999
176,39.642790000000005,-105.06523
177,39.75332,-104.98808999999999
178,39.72333,-104.98988999999999
179,39.770759999999996,-105.02362
180,39.736709999999995,-104.95601
181,39.77108,-105.02106
182,39.66446,-104.96821000000001
183,39.73421,-104.95553999999998
184,39.733109999999996,-104.98062
185,39.70482,-104.98203999999998
186,39.77532,-105.01852
187,39.74058,-104.95857
188,39.76305,-104.97528999999999
189,39.75778,-104.89102
190,39.699290000000005,-105.01178999999999
191,39.76848,-105.01791000000001
192,39.709590000000006,-105.00441000000001
193,39.66564,-105.06181000000001
194,39.6689,-104.95245
195,39.773509999999995,-105.02838
196,39.753679999999996,-104.99825
197,39.74523,-104.97887
198,39.72149,-104.98646000000001
199,39.67368,-104.97218000000001
200,39.7268,-105.00168000000001
201,39.76993,-104.96901000000001
202,39.68912,-104.98683999999999
203,39.77277,-105.00998
204,39.7731,-105.00997
205,39.75399,-104.98194
206,39.68363,-104.95239
207,39.72191,-104.99878999999999
208,39.73072,-104.9747
209,39.737429999999996,-104.97468
210,39.75484,-104.95683000000001
211,39.76778,-105.0167
212,39.76048,-104.94951999999999
213,39.7715,-105.01126000000001
214,39.7706,-105.01995
215,39.75501,-104.9551
216,39.76204,-105.01455
217,39.708490000000005,-104.89128999999998
218,39.69032,-104.9873
219,39.74351,-104.99483000000001
220,39.764379999999996,-105.03379
221,39.75623,-104.97158999999999
222,39.77667,-105.0463
223,39.719120000000004,-104.99536
224,39.77162,-105.01114
225,39.71803,-104.99136000000001
226,39.760020000000004,-104.97271
227,39.751940000000005,-104.91991000000002
228,39.763459999999995,-105.0311
229,39.77697,-105.05238999999999
230,39.75286,-104.96613
231,39.754220000000004,-104.96463999999999
232,39.7534,-104.96498000000001
233,39.75107,-104.93361999999999
234,39.746190000000006,-104.96732
235,39.75708,-104.98178
236,39.73899,-104.94858
237,39.79083,-104.74548
238,39.76692,-105.01036
